epoch;accuracy;loss;val_accuracy;val_loss
0;0.10454545170068741;2.302596092224121;0.1133333370089531;2.301870584487915
1;0.11363636702299118;2.3022818565368652;0.11666666716337204;2.301647186279297
2;0.11681818217039108;2.3019778728485107;0.1133333370089531;2.301419973373413
3;0.1263636350631714;2.301680564880371;0.10999999940395355;2.301193952560425
4;0.13863636553287506;2.3014028072357178;0.11666666716337204;2.3009755611419678
5;0.14318181574344635;2.3011250495910645;0.11999999731779099;2.3007583618164062
6;0.13727273046970367;2.3008508682250977;0.12333333492279053;2.300539016723633
7;0.1440909057855606;2.3005728721618652;0.12999999523162842;2.3003170490264893
8;0.15090909600257874;2.300287961959839;0.13333334028720856;2.300088405609131
9;0.1599999964237213;2.2999916076660156;0.1366666704416275;2.2998576164245605
10;0.1663636416196823;2.299722194671631;0.1433333307504654;2.29962420463562
11;0.16545455157756805;2.299438238143921;0.15000000596046448;2.2993857860565186
12;0.16045454144477844;2.2991442680358887;0.1433333307504654;2.2991416454315186
13;0.16500000655651093;2.2988548278808594;0.13333334028720856;2.298891544342041
14;0.16181817650794983;2.298546552658081;0.12333333492279053;2.2986340522766113
15;0.1627272665500641;2.298229694366455;0.12333333492279053;2.298369884490967
16;0.16500000655651093;2.297917366027832;0.12666666507720947;2.298100709915161
17;0.16045454144477844;2.2975854873657227;0.12999999523162842;2.297811985015869
18;0.1663636416196823;2.297243356704712;0.13333334028720856;2.297522783279419
19;0.16318181157112122;2.296891689300537;0.13333334028720856;2.2972187995910645
20;0.15909090638160706;2.296539783477783;0.12999999523162842;2.2969017028808594
21;0.16045454144477844;2.296149730682373;0.12999999523162842;2.2965729236602783
0;0.09454545378684998;2.339238405227661;0.10000000149011612;2.3025834560394287
1;0.10590909421443939;2.301910161972046;0.12666666507720947;2.290330171585083
2;0.1345454603433609;2.2823543548583984;0.12999999523162842;2.3307883739471436
3;0.14363636076450348;2.2621829509735107;0.12999999523162842;2.437215805053711
4;0.1663636416196823;2.235738754272461;0.1366666704416275;2.306535005569458
5;0.22499999403953552;2.1530585289001465;0.12333333492279053;2.545870065689087
6;0.31545454263687134;1.8438478708267212;0.33000001311302185;2.134718894958496
7;0.4827272593975067;1.403951644897461;0.43666666746139526;1.6100980043411255
8;0.6195454597473145;1.0696922540664673;0.4566666781902313;1.4510986804962158
9;0.6949999928474426;0.8390997052192688;0.4933333396911621;1.7019332647323608
10;0.7609090805053711;0.7008255124092102;0.4833333194255829;1.8870705366134644
11;0.8113636374473572;0.5185719728469849;0.4699999988079071;2.5753250122070312
12;0.8477272987365723;0.42956507205963135;0.476666659116745;2.153435468673706
13;0.8863636255264282;0.322594553232193;0.49000000953674316;2.333577871322632
14;0.9059090614318848;0.250797301530838;0.47999998927116394;2.8111331462860107
15;0.9186363816261292;0.22142420709133148;0.4633333384990692;2.8894529342651367
16;0.946363627910614;0.16623112559318542;0.5433333516120911;3.4153976440429688
17;0.9545454382896423;0.14591005444526672;0.5066666603088379;3.339176893234253
18;0.9750000238418579;0.07973969727754593;0.5166666507720947;3.806868076324463
19;0.9790909290313721;0.06883415579795837;0.5099999904632568;3.648955821990967
20;0.9868181943893433;0.04462270066142082;0.49000000953674316;4.728343486785889
21;0.9681817889213562;0.0865439623594284;0.4699999988079071;4.136015892028809
22;0.9850000143051147;0.05381608381867409;0.4866666793823242;3.8782665729522705
23;0.9731818437576294;0.08689455687999725;0.503333330154419;3.9774816036224365
24;0.9927272796630859;0.02280914969742298;0.550000011920929;4.364769458770752
25;0.9981818199157715;0.010301434434950352;0.54666668176651;4.679649353027344
26;0.9977272748947144;0.00970923900604248;0.5266666412353516;4.691234588623047
27;1.0;0.0024464591406285763;0.5299999713897705;4.7792067527771
28;1.0;0.0015717609785497189;0.5333333611488342;4.937440395355225
29;1.0;0.0012278541689738631;0.5333333611488342;5.026307582855225
