epoch;accuracy;loss;val_accuracy;val_loss
0;0.13318182528018951;5.059693813323975;0.10000000149011612;2.4012105464935303
1;0.16681818664073944;3.5318193435668945;0.10000000149011612;2.370016574859619
2;0.20454545319080353;3.252920150756836;0.13333334028720856;2.561725616455078
3;0.19909091293811798;3.095191717147827;0.10333333164453506;2.4301235675811768
4;0.2277272790670395;3.038316488265991;0.10000000149011612;2.488847017288208
5;0.24727272987365723;2.884120225906372;0.10000000149011612;2.3689169883728027
6;0.26681819558143616;2.7792911529541016;0.10999999940395355;2.3072519302368164
7;0.2863636314868927;2.749196767807007;0.25;2.0848450660705566
8;0.33772727847099304;2.5629401206970215;0.3333333432674408;1.9563817977905273
9;0.33772727847099304;2.521202564239502;0.3466666638851166;1.7167744636535645
10;0.39500001072883606;2.278639078140259;0.3766666650772095;1.5867021083831787
11;0.4172727167606354;2.1328701972961426;0.4099999964237213;1.5548501014709473
12;0.44045454263687134;1.9955805540084839;0.5;1.5188119411468506
13;0.49318182468414307;1.85770583152771;0.47333332896232605;1.4829745292663574
14;0.5072727203369141;1.762576699256897;0.503333330154419;1.4227776527404785
15;0.535909116268158;1.7001237869262695;0.3933333456516266;1.8570539951324463
16;0.5509091019630432;1.5994421243667603;0.4933333396911621;1.4384300708770752
17;0.5695454478263855;1.4669277667999268;0.4533333480358124;1.6304234266281128
18;0.589090883731842;1.4136296510696411;0.4833333194255829;1.5450940132141113
19;0.6536363363265991;1.1797937154769897;0.49000000953674316;1.7162631750106812
20;0.6422727108001709;1.1879230737686157;0.4699999988079071;1.668216347694397
21;0.671818196773529;1.1076985597610474;0.4833333194255829;1.6932910680770874
22;0.6840909123420715;1.0411957502365112;0.5066666603088379;1.4613033533096313
23;0.6863636374473572;0.9366195201873779;0.49000000953674316;1.829805850982666
24;0.7309091091156006;0.8816632032394409;0.4866666793823242;1.728669285774231
25;0.7300000190734863;0.8307410478591919;0.4533333480358124;1.8779256343841553
26;0.7572727203369141;0.7862001061439514;0.5;1.8200856447219849
27;0.7618181705474854;0.7142381072044373;0.5299999713897705;1.886285424232483
28;0.774545431137085;0.6881718039512634;0.5666666626930237;1.7474713325500488
29;0.7818182110786438;0.6624848246574402;0.4833333194255829;2.0879385471343994
0;0.1472727209329605;5.628026008605957;0.1366666704416275;3.1106154918670654
1;0.23818181455135345;3.5138237476348877;0.13333334028720856;3.5170443058013916
2;0.30909091234207153;2.6331214904785156;0.19333332777023315;2.809746503829956
3;0.41363635659217834;2.0482959747314453;0.35333332419395447;1.9011529684066772
4;0.49454545974731445;1.7053883075714111;0.4266666769981384;1.9300929307937622
5;0.5686363577842712;1.4651387929916382;0.476666659116745;1.464959979057312
6;0.6118181943893433;1.2549974918365479;0.46666666865348816;2.1556360721588135
7;0.6777272820472717;1.0209681987762451;0.4166666567325592;2.3090388774871826
8;0.7109090685844421;0.9075431823730469;0.4699999988079071;2.1813623905181885
9;0.7722727060317993;0.6728339791297913;0.5366666913032532;1.8475428819656372
10;0.7863636612892151;0.6886494755744934;0.5133333206176758;1.9285272359848022
11;0.8209090828895569;0.5148999691009521;0.5600000023841858;1.904472827911377
12;0.8345454335212708;0.5002368092536926;0.503333330154419;2.2386116981506348
13;0.8545454740524292;0.4213692545890808;0.5099999904632568;2.0863595008850098
14;0.8754545450210571;0.3592265546321869;0.5400000214576721;2.2137863636016846
15;0.889090895652771;0.3298618793487549;0.5400000214576721;2.541367292404175
16;0.8899999856948853;0.3144758343696594;0.6000000238418579;2.005946159362793
17;0.9040908813476562;0.28955787420272827;0.5366666913032532;2.1658785343170166
18;0.918181836605072;0.2373899221420288;0.5133333206176758;2.8556058406829834
19;0.9186363816261292;0.2257145792245865;0.4866666793823242;2.789046287536621
20;0.9340909123420715;0.18704718351364136;0.5566666722297668;2.472550392150879
21;0.9363636374473572;0.17808060348033905;0.5433333516120911;2.580153465270996
22;0.9368181824684143;0.18752191960811615;0.5866666436195374;2.6791391372680664
23;0.9445454478263855;0.1748405247926712;0.5566666722297668;2.851627826690674
24;0.9386363625526428;0.1846410632133484;0.5166666507720947;3.0714542865753174
